time4sub,time11sub,solution?,n,time4,time11,correct winner,SAT?,blocked/n^2
0.057894488,0.2226556443,0,70,0.1521062851,2.594217062,queen4,UnSAT,0.9720408163
0.0578746335,0.2226459132,0,70,0.1994533539,2.4542012215,queen4,UnSAT,0.972244898
0.0578536482,0.222645107,0,70,0.2238714695,2.868915081,queen4,UnSAT,0.9724489796
0.057834991,0.2226314629,0,70,0.1494069099,2.4830572605,queen4,UnSAT,0.9726530612
0.0578171703,0.2226425075,0,70,0.236386776,2.5086507797,queen4,UnSAT,0.9728571429
0.0578039446,0.2226536994,0,70,0.1413486004,2.4372220039,queen4,UnSAT,0.9730612245
0.0577977748,0.222701888,0,70,0.1673018932,2.353212595,queen4,UnSAT,0.9732653061
0.0577838256,0.2227083034,0,70,0.1493446827,2.4936394691,queen4,UnSAT,0.9734693878
0.0577684225,0.222717986,0,70,0.1937139034,2.5055756569,queen4,UnSAT,0.9736734694
0.0577555463,0.2227167272,0,70,0.2159600258,2.3772547245,queen4,UnSAT,0.973877551
0.0577447187,0.2227544919,0,70,0.1500554085,2.5745899677,queen4,UnSAT,0.9740816327
0.057727622,0.2227598503,0,70,0.1668496132,2.4507889748,queen4,UnSAT,0.9742857143
0.0577127793,0.2227624351,0,70,0.2725224495,2.5036942959,queen4,UnSAT,0.9744897959
0.0576948116,0.222763681,0,70,0.140078783,2.549854517,queen4,UnSAT,0.9746938776
0.0576809336,0.2227688748,0,70,0.2297687531,2.5500087738,queen4,UnSAT,0.9748979592
0.0576639073,0.2227748398,0,70,0.1472327709,2.3683998585,queen4,UnSAT,0.9751020408
0.0576494862,0.2228150851,0,70,0.1397008896,3.0575168133,queen4,UnSAT,0.9753061224
0.05762846,0.2227944267,0,70,0.2097034454,2.566391468,queen4,UnSAT,0.9755102041
0.0576104027,0.2227809269,0,70,0.1576993465,2.6108021736,queen4,UnSAT,0.9757142857
0.0575940186,0.2227938901,0,70,0.1485180855,2.4201989174,queen4,UnSAT,0.9759183673
0.0575843362,0.2228157308,0,70,0.1864295006,2.4854750633,queen4,UnSAT,0.976122449
0.0575658009,0.2228147579,0,70,0.1580278873,2.3763985634,queen4,UnSAT,0.9763265306
0.0575498133,0.2228285859,0,70,0.2162013054,2.6944932938,queen4,UnSAT,0.9765306122
0.0575341545,0.2228574093,0,70,0.1191227436,2.3975272179,queen4,UnSAT,0.9767346939
0.0575218592,0.2228663594,0,70,0.2275030613,2.4615335464,queen4,UnSAT,0.9769387755
0.0575033169,0.2228870051,0,70,0.1770226955,2.3665225506,queen4,UnSAT,0.9771428571
0.057486053,0.2228965401,0,70,0.1795983315,2.8317131996,queen4,UnSAT,0.9773469388
0.0574701895,0.2228894989,0,70,0.1363928318,2.4818120003,queen4,UnSAT,0.9775510204
0.0574577171,0.2229060421,0,70,0.2378294468,2.4490604401,queen4,UnSAT,0.977755102
0.0574428112,0.2229200623,0,70,0.1607453823,2.4666223526,queen4,UnSAT,0.9779591837
0.0574282351,0.2229271096,0,70,0.2034907341,2.8272109032,queen4,UnSAT,0.9781632653
0.0574098333,0.2229069532,0,70,0.1505753994,2.5419785976,queen4,UnSAT,0.9783673469
0.0573943299,0.2228977799,0,70,0.2025589943,2.6857919693,queen4,UnSAT,0.9785714286
0.0573844581,0.2229195587,0,70,0.1417667866,2.423525095,queen4,UnSAT,0.9787755102
0.0573725968,0.2229592277,0,70,0.1672801971,2.4010722637,queen4,UnSAT,0.9789795918
